procodigo,pronome
827,MANGERICÃO
53,MANJERICÃO
1187,MANJERICÃO
1161,MANTEIGA
1266,MANUTENÇÃO GERAL
1265,MANUTENÇÃO MOTOS
324,MARACUJÁ
831,MARACUJÁ
765,MARACUJÁ E ACEROLA
1213,MARGARINA
411,MARGARITA
1379,MARMITA BIFE E FRANGO MOSAIC
1378,MARMITA FRANGO E BIFE MOSAIC
1400,MARMITEX 1200ML
1096,MASSA DE YAKISSOBA
956,MEDIA AIQFOME
1361,MEL
326,MELÃO
441,MENTOS
7,MILHO
697,MILHO
698,MILHO 
1135,MILHO VERDE
591,MILK SHAKE AÇAI
422,MILK SHAKE CHOCOLATE
412,MILK SHAKE MARACUJÁ
407,MILK SHAKE MORANGO
188,MISTA
86,MISTO QUENTE
88,MISTO QUENTE ESPECIAL
101,MODA KUSKÃO NO PRATO
409,MOJITO CUBANO
415,MOJITO KUSKÃO
1010,molho
1439,MOLHO 
633,MOLHO AGRIDOCE 
443,MOLHO APAMEGIANA
1250,MOLHO BARBECUE
561,MOLHO BRANCO
963,MOLHO DE ALHO
1241,MOLHO DE PIMENTA 
24,MOLHO DE TOMATE
741,MOLHO DE TOMATE
632,MOLHO ESPECIAL
601,MOLHO ESPECIAL: CREME DE LEITE, CATUPIRY, BARBECUE, PIMENTA E CHEIRO VERDE
279,MOLHO ROSÊ
265,MOLHO TARTARO
955,MOLHO TARTARO 
1365,MOLHO TARTARO GRANDE
1366,MOLHO TARTARO MEDIO
875,MOLHO TARTARO PEQUENO
40,MOLHO VERMELHO
236,MOQUECA DE PINTADO
327,MORANGO
817,MORANGO
943,MORANGO
1104,MORANGO FRUTA
408,MOSCOW MULE
578,MOSTARDA
749,MOSTARDA
1077,MOSTARDA GALAO 3,3KG
566,MOUSSE DE ABACAXI
507,MOUSSE DE MARACUJÁ
554,MOUSSE DE MORANGO
1127,MPP 60ML POTE TRANSPARENTE
2,MUSSARELA
705,MUSSARELA
706,MUSSARELA
1369,NATA
1342,NESCAFE
1384,NESCAU
79,NUTELA
931,NUTELA
1404,Nutella
1238,OLEO DE SOJA CONCORDIA
1280,OLEO MISTO
1332,OLEO SINGER 100 ML
519,OMELETE
5,OREGANO
556,OREGANO 2
1124,OREGANO TURCO
338,ORIGINAL 600 ML
360,ORIGINAL HAPPY HOUR 19:00 ÁS 21:00
1297,OVO FRITO
590,OVO MALTINE
864,OVO MALTINE
940,OVO MALTINE
1259,OVOMALTINE
20,OVOS
733,OVOS
734,OVOS
735,OVOS
736,OVOS
737,OVOS
738,OVOS
1320,OVOS
1152,OVOS DE CODORNA
588,PAÇOCA
932,PAÇOCA
1243,PAÇOCA
1016,PACOTE DE FIGURINHA DA COPA
1308,PALETA BOVINA
1090,PALITO DE DENTE BAMBU 25X100UN
1089,PALITO DENTE MENTA
1261,PALITO GUARDA SOL
9,PALMITO
172,PALMITO
712,PALMITO
716,PALMITO
880,PALMITO
459,PALMITO EM RODELAS
1323,PALMITO INTEIRO
1325,PALMITO PICADO
176,PALMITO, SALAME ITALIANO E QUEIJO
715,PAMITO
714,PAMITOO
1344,PANETONE
1338,PANO 
1339,PANO
527,PANQUECA A BOLONHESA C ARROZ E SALADA
861,PANQUECA BOLONHESA
103,PÃO
1290,PÃO AUSTRALIANO
1293,PAO AUSTRALIANO
948,PÃO COM CREME DE ALHO
1003,PÃO COM LINGUIÇA CASEIRA
957,PÃO COM LINGUIÇA CASEIRA RECOMPENSA
607,PÃO DE HAMBURGUER COM GERGELIN
1007,PÃO DE LEITE
119,PÃO DE X  PRENSADO
87,PÃO FATIADO
1059,PÃO FATIADO
671,PÃO FATIADO INTEGRAL
449,PÃO FRANCÊS
675,PÃO FRANCÊS 
1042,PÃO FRANCES 
1048,PÃO HAMBURGUER 
1058,PÃO INTEGRAL
1045,PÃO MINI LEITE
1046,PÃO MINI LEITE
1047,PAO MINI LEITE
51,PÃO TORRADO
1099,PAPEL A4
1232,PAPEL ACOPLADO
1183,PAPEL ALUMINIO
1264,PAPEL HIGIENICO
1443,PAPRICA DEFUMADA
1448,PÁPRICA DEFUMADA
65,PARMESÃO
858,PARMESÃO
1085,PASTILHA CHOCOLATE DISQUETE
1413,PATINHO
451,PAULISTINHA
1013,PAULISTINHA 20 CM + COCA LATA ZERO
917,PAULISTINHA DE FRANGO GRELHADO
1358,PAULISTINHA MODA KUSKÃO
969,PAULISTINHA PRIME
1002,PAULISTINHA PRIME 
1001,PAULISTINHA PRIME 25CM
972,PAULISTINHA RECOMPENSA
595,PEDAÇO DE FRANGO GRELHADO 100 GRAMAS
596,PEDAÇO DE PICANHA GRELHADA 100 GRAMAS 
444,PEDAÇO FILÉ MIGNON
594,PEDAÇO FILÉ MIGNON GREHADO 100 GRAMAS 
882,PEDIDO DO AIQFOME 
1354,PEDRA P/ AFIAR
158,PEITO DE FRANGO GRELHADO COM BACON
1040,PEITO DE FRANGO PACOTE MAROMBI
674,PEITO DE PERU
923,PEITO DE PERU 
1168,PEITO DE PERU
1277,PELICULA PVC
1282,PENEIRA
100,PEPINO
695,PEPINO
696,PEPINO
1221,PEPINO 
610,PEPPERONI
1307,PERNIL SUINO 
58,PÊSSEGO
1305,PESSEGO
806,PÊSSEGO EM CALDA
1147,PICANHA
178,PICANHA  PALMITO E PÃO TORRADO
156,PICANHA Á MINEIRA
154,PICANHA À MODA KUSKÃO COMPLETA
261,PICANHA ACEBOLADA GRATINADA COM QUEIJO
789,PICANHA AO ALHO E ÓLEO
854,PICANHA AO ALHO E ÓLEO 
872,PICANHA AO PALITO
152,PICANHA COM MANDIOCA
752,PICANHA FATIADA 300 GRAMAS
677,PICANHA GRELHADA
524,PICANHA GRELHADA 100 GRAMAS
41,PICANHA GRELHADA 300 GRAMAS
1352,PILHA
1356,PIMENTA BIQUÍNHO
750,PIMENTA CALABRESA
1071,PIMENTA CALABRESA
1246,PIMENTA CALABRESA FLOCOS
54,PIMENTA CALABRESA RALADA
27,PIMENTÃO
753,PIMENTÃO
754,PIMENTÃO
893,PIMENTÃO AMARELO
929,PIMENTÃO AMARELO
1060,PIMENTÃO AMARELO
891,PIMENTÃO VERDE
927,PIMENTÃO VERDE
1062,PIMENTÃO VERDE
928,PIMENTÃO VERMELHO
1143,PIMENTÃO VERMELHO
892,PIMNETÃO VERMELHO
414,PINA COLADA
264,PINTADO À MILANESA
234,PINTADO A MODA DO REI
289,PINTADO AO MOLHO
291,PINTADO AO MOLHO COM PIRÃO
286,PINTADO GRELHADO COM MOLHO MOSTARDA
532,PIRÃO
1223,PIRULITO
3,PIZZA
464,PIZZA CALZONE
1169,PO P/ DECORAR
1409,PÓ ROYAL
267,POLENTA FRITA
471,POLENTA FRITA
855,POLENTA FRITA
1349,POLENTA PALITO
1032,POLPA ABACAXI COM HORTELÃ
1207,POLPA DE ABACAXI
1033,POLPA DE ACEROLA
1274,POLPA DE CAJA
1105,POLPA DE CAJU
1321,POLPA DE COCO
1107,POLPA DE CUPUAÇU
1360,POLPA DE GOIABA
1276,POLPA DE GRAVIOLA
1275,POLPA DE MANGA
1208,POLPA DE MORANGO
1106,POLPA DE TANGERINA
1209,POLPA DE UVA
1034,POLPA MARACUJA
897,PORÇÃO ANÉIS DE CEBOLA FRITA E FRANGO A MILANESA
490,PORÇÃO CALABRESA
198,PORÇÃO COSTELINHA DE MATRINCHÃ
434,PORÇÃO DE ARROZ
886,PORÇÃO DE BATATA FRITA COM BACON E CHEEDER + COCA 1,5 LITROS + COPO COM CANUDO PERSONALIZADO
436,PORÇÃO DE FEIJÃO
456,PORÇÃO DE PURÊ
433,PORÇÃO FEIJÃO TROPEIRO
180,PORÇÃO FILÉ ACEBOLADO COM CATUPIRY
196,PORÇÃO FRANGO Á MILANESA
900,PORÇÃO INDIVIDUAL ANÉIS DE CEBOLA FRITA E FRANGO A MILANESA RECOMPENSA
190,PORÇÃO MODA DA CASA
192,PORÇÃO MODA KUSKÃO
860,PORÇÃO PEITO DE FRANGO GRELHADO
613,PORÇÃO PICANHA COM MANDIOCA COZIDA
623,PORÇÃO PICANHA E MANDIOCA FRITA
160,PORÇÃO PINTADO À MILANESA
437,PORÇÃO SALADA NORMAL
565,PORÇÃO TILÁPIA À MILANESA
204,PORÇÃO VENTRECHA DE TAMBAQUI
1398,PORÇÃO VINAGRETE
66,PORTUGUESA
1263,POTE G3 1000ML
665,POUCO DE PIMENTA PRETA 
999,PRATO KIDS 1
1000,PRATO KIDS 2
1179,PRATO LAMINADO N04
1178,PRATO LAMINADO N07
1177,PRATO LAMINADO N10
6,PRESUNTO
709,PRESUNTO
710,PRESUNTO
711,PRESUNTO
251,PRESUNTO À JULIENE
1064,PRESUNTO COZ RESENDE
61,PRESUNTO EM CUBOS
64,PROVOLONE
246,PURÊ
67,QUATRO QUEIJO
270,QUEIJO
1294,QUEIJO CHEDDAR
1291,QUEIJO CHEEDER
1163,QUEIJO COALHO
498,QUEIJO FRITO
592,QUEIJO FRITO
243,QUEIJO GRATINADO
1164,QUEIJO MUSSARELA
1067,QUEIJO PARMESÃO RALADO
1162,QUEIJO PROVOLONE
284,QUEIJO RALADO
1202,RECHEIO FORN CHOCO BRANCO
1075,RECHEIO FORN CHOCO LEITE
980,RECOMPENSA APARMEGIANA NO PRATO
974,RED BULL RECOMPENSA 
1347,RED LABEL
473,REFEIÇÃO
755,REFEIÇÃO
672,REPOLHO
1197,REPOLHO VERDE
1166,REQUEIJÃO CREMOSO CATUPIRY 
1165,REQUEIJÃO CREMOSO CHEDDAR
673,REQUEIJÃO LIGHT
474,RODÍZIO ADULTO
1411,RODÍZIO ADULTO RECOMPENSA
645,RODÍZIO FEMININO
528,RODÍZIO INFANTIL ( 6 Á 12 ANOS )
958,RODIZIO MASCULINO PROMOCIONAL
1055,RODO FLORINI
22,RUCULA
740,RUCULA
877,RÚCULA
820,RUM
844,RUM BACARDI
651,RUM CUBANO
1326,SABÃO EM PÓ
1268,SABONETE LIQUIDO
1082,SACHET KETCHUP
1083,SACHET MAIONESE
1084,SACHET MOSTARDA
1363,SACHET SAL
1122,SACHET VINAGRETE
1403,SACO AVACOO NYLON
1173,SACO DE LIXO 150L
1092,SACO DE LIXO PRETO 100L
1244,SACO LISO 10X25
1123,SACO LISO 50X80X0,007
1118,SACO PLASTICO PARA TALHER
1157,SACOLA LISA 30X40
1302,SACOLA LISA 50X60
657,SAL
1114,SAL REFINADO
50,SALADA
895,SALADA
148,SALADA DE SALPICÃO
788,SALADA KUSKÃO
146,SALADA MISTA
269,SALAME ITALIANO
925,SALAME ITALIANO 
1167,SALAME ITALIANO
1102,SALAME PEPERONI
1359,SALPICÃO
118,SALSICHA
984,SALSICHA
1065,SALSICHA SEARA
70,SALSINHA
702,SALSINHA
703,SALSINHA
915,SANDUBÃO
670,SANDUÍCHE INTEGRAL DE PEITO DE PERU
1386,SAPATO POLIMERO BRANCO
421,SEDUÇÃO
598,SENSAÇÃO
413,SEX ON THE BEACH
555,SHOYO
1253,SHOYU
334,SKOL 600 ML
581,SKOL ABRE FACÍL LONGUINET
367,SKOL PALITO
973,SKOL PALITO RECOMPENSA
644,SKOL PURO MALTE 600ML
417,SMOOTHI MANGA
419,SMOOTHIE FANTASIA
416,SMOOTHIE KIDS
1351,SODA CAUSTICA
611,SONHO DE VALSA
275,SOPA DE AGNOLINE
208,SOPA DE ANHOLINI C QUEIJO PARMESAO E TORRADAS
209,SOPA DE LEGUMES
276,SOPA DE LEGUMES
589,SORVETE CREME
839,SORVETE DE CREME
939,SORVETE DE CREME
795,SORVETE E CHURROS
638,SORVETE MORANGO
953,SPRIT 2 LITROS AIQFOME BLACK FRIDAY
315,SPRIT 2 LTRS
295,SPRIT LATA
759,STELLA ARTOIS
495,SUCO
322,SUCO COPO LIMÃO
845,SUCO DE ABACAXI
659,SUCO DE LARANJA
835,SUCO DE LIMÃO
461,SUCO VALLE MARACUJA
462,SUCO VALLE PESSEGO
33,SUCO VALLE UVA
478,SUCOS SALÃO
222,SUPREMA DE FRANGO A MARYLANDE
1367,TABUA CORTE
206,TABUA DE FRIOS
1453,TAÇA DE COQUETEL
399,TAÇA DE VINHO BRANCO SECO
400,TAÇA DE VINHO BRANCO SUAVE
397,TAÇA DE VINHO TINTO SECO
398,TAÇA DE VINHO TINTO SUAVE
1172,TAMPA GARRAFA
1159,TAMPA POTE P3/G3
841,TANGERINA
763,TANGERINA E ACEROLA
540,TAXA 10,00
1049,TAXA DE ENTREGA 
83,TAXA DE ENTREGA  R$ 3,00
84,TAXA DE ENTREGA R$ 10,00
85,TAXA DE ENTREGA R$ 5,00
1353,TAXA DE ENTREGA R$ 7.00
1024,TAXA DE ENTREGA R$ 8.00
1026,TAXA DE ENTREGA R$ 8.00
1303,TAXA DE SERVIÇO AIQFOME
629,TAXA ENTREGA ATUALIZADA
539,TAXA ZERO
1393,TECLADO
655,TEQUILA
833,TEQUILA
1285,TESTE
667,THE DUCK
669,THE DUCK KIDS SEM ÁLCOOL
363,TNT ENERGÉTICO
1329,TOALHA
1185,TOALHA DE PAPEL
4,TOMATE 
707,TOMATE
708,TOMATE
1214,TOMATE
876,TOMATE CEREJA
1283,TOMATE CEREJA
529,TOMATE EM RODELAS
1198,TOMATE MISTO
23,TOMATE SECO
1248,TOMATE SECO
1142,TOMATE SWEET GRAPE
296,TÔNICA LATA
1230,TORRADA
859,TORRADAS
499,TORRADINHAS
356,TORRE 1,250 LT
357,TORRE 2,5 LT
358,TORRE 3,5 LT
1119,TOUCA DESCARTAVEL
1380,TRIDENT MELANCIA
510,TRIDENT MENTA
1018,TRIDENT MORANGO
615,TRIPLO CHOPP CANECO 
881,TRUFA DE BRIGADEIRO
911,TRUFA DE FRUTAS VERMELHAS
913,TRUFA DE MARACUJÁ
912,TRUFA DE MORANGO
350,TULIPA COM GROSELHA
352,TULIPA GOSMEL
1031,TULIPINHA
355,TULIPINHA COM GROSELHA
354,TULIPINHA GOSMEL
331,UVA
828,UVA
259,UVA PASSA
1149,UVAS PASSAS
1061,V ACELGA
493,VALE
1054,VASSOURA STA MARIA
1270,VELHO BARREIRO
232,VENTRECHA DE TAMBAQUI
274,VENTRECHA DE TAMBAQUI
285,VENTRECHA DE TAMBAQUI À MILANESA
1078,VINAGRE
48,VINAGRETE
811,VINAGRETE
342,VINCULADO COM PORÇÃO DUPLICADA DE  FRANGO GRELHADO
647,VODKA
814,VODKA
1345,VODKA
834,WHISKY
410,WHISKY SOUR
299,X
303,X
304,X
306,X
311,X
312,X
337,X
340,X
341,X
365,X
366,X
432,X
446,X
475,X
530,X
531,X
533,X
544,X
550,X
584,X
642,X
1289,X AUSTRALIANO
95,X BACON
96,X BAGUNÇA
621,X BETO
445,X BURGUER
1005,X BURGUER PROMOÇÃO
89,X CALABRESA
107,X CALABRESA BACON
600,X CREMOSO
106,X EGG
98,X ESPECIAL
104,X FILÉ
108,X FILÉ BACON
113,X FILÉ DE FRANGO CATUPIRY
110,X FILÉ DE FRANGO TUDO
94,X FRANGO
109,X FRANGO BACON
567,X MAIONESE
97,X MODA DA CASA
467,X NATURAL
476,X PERSONALIZADO
112,X PICANHA
574,X PINTADO
91,X SALADA
981,X SALADA RECOMPENSA
111,X SUPER LANCHE
576,X TILÁPIA
105,X TUDO
982,X TUDO RECOMPENSA
1328,XAROPE
654,XAROPE DE AÇUCAR
832,XAROPE DE AÇUCAR
174,XX
273,XX
319,XX
549,XX
883,XX
885,XXX
503,YAKISOBA C ARROZ E SALADA
